MsgCounter,Roll,Pitch,Yaw,Roll_Setpoint,Pitch_Setpoint,Yaw_Setpoint,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Battery,Temperature,Longitude,Latitude
77,-24.38,-4.12,297.25,0.00,0.00,180.00,-0.397,0.087,0.904,-7.00,-24.69,-17.50,8.02,42.5,25856.0000000,57600.0000000
78,-22.62,-1.25,299.25,0.00,0.00,180.00,-0.372,0.032,0.897,-27.75,-17.00,-33.50,8.02,42.5,25856.0000000,57600.0000000
79,-21.69,3.56,301.56,0.00,0.00,180.00,-0.303,-0.142,0.930,-33.94,3.56,-14.50,8.02,42.5,25856.0000000,57600.0000000
80,-23.62,6.31,301.00,0.00,0.00,180.00,-0.374,-0.092,0.875,-30.81,23.62,11.19,8.09,30.0,25856.0000000,57600.0000000
81,-26.56,10.06,300.19,0.00,0.00,180.00,-0.474,-0.105,0.836,-29.44,8.19,-27.69,8.09,30.0,25856.0000000,57600.0000000
82,-26.19,12.50,298.88,0.00,0.00,180.00,-0.370,-0.313,0.880,-4.44,-1.56,39.12,8.09,30.0,25856.0000000,57600.0000000
83,-25.62,11.19,298.94,0.00,0.00,180.00,-0.429,-0.197,0.937,31.00,-19.62,-2.00,8.09,30.0,25856.0000000,57600.0000000
84,-22.19,5.38,300.06,0.00,0.00,180.00,-0.380,-0.006,0.915,66.31,-38.75,7.44,8.09,30.0,25856.0000000,57600.0000000
85,-19.38,-0.38,299.38,0.00,0.00,180.00,-0.355,-0.071,0.888,59.25,-29.44,31.38,8.09,30.0,25856.0000000,57600.0000000
86,-16.06,-7.06,297.62,0.00,0.00,180.00,-0.340,0.122,0.950,49.19,-31.94,36.81,8.09,30.0,25856.0000000,57600.0000000
87,-12.25,-11.44,295.56,0.00,0.00,180.00,-0.233,0.128,0.879,25.38,-21.25,37.25,8.09,30.0,25856.0000000,57600.0000000
88,-10.81,-13.25,290.38,0.00,0.00,180.00,-0.351,0.117,0.919,7.00,-11.69,38.69,8.09,30.0,25856.0000000,57600.0000000
89,-5.69,-14.75,285.69,0.00,0.00,180.00,-0.181,0.142,0.876,11.50,-62.62,46.50,8.09,30.0,25856.0000000,57600.0000000
91,0.44,-11.06,276.94,0.00,0.00,180.00,0.112,0.187,0.938,-40.56,38.25,41.06,8.09,30.0,25856.0000000,57600.0000000
94,-18.00,5.69,273.56,0.00,0.00,180.00,-0.236,0.037,0.908,-81.06,53.81,-41.50,8.09,30.0,25856.0000000,57600.0000000
95,-20.81,13.75,277.75,0.00,0.00,180.00,-0.296,-0.228,0.898,-42.50,27.50,-51.38,8.09,30.0,25856.0000000,57600.0000000
96,-18.50,15.25,284.75,0.00,0.00,180.00,-0.451,-0.147,0.940,45.38,-36.19,-83.12,8.09,30.0,25856.0000000,57600.0000000
97,-11.19,11.00,291.25,0.00,0.00,180.00,-0.231,-0.224,0.960,61.62,-69.62,-51.81,8.09,30.0,25856.0000000,57600.0000000
98,-5.31,4.75,295.38,0.00,0.00,180.00,-0.102,-0.356,1.058,83.44,-42.25,-35.94,8.09,30.0,25856.0000000,57600.0000000
99,-2.69,-5.56,299.38,0.00,0.00,180.00,-0.092,-0.112,1.028,124.75,-14.69,-36.19,8.09,30.0,25856.0000000,57600.0000000
100,-3.44,-15.81,302.44,0.00,0.00,180.00,-0.107,0.206,0.900,83.38,15.75,-19.19,8.09,30.0,25856.0000000,57600.0000000
101,-5.88,-20.81,301.25,0.00,0.00,180.00,-0.125,0.287,0.870,31.75,35.69,22.00,8.08,28.0,25856.0000000,57600.0000000
106,-20.19,4.31,267.31,0.00,0.00,180.00,-0.299,-0.079,0.982,-15.19,-16.06,-8.50,8.08,28.0,25856.0000000,57600.0000000
108,-11.56,1.25,272.00,0.00,0.00,180.00,-0.194,0.028,0.901,33.25,-41.25,-31.56,8.08,28.0,25856.0000000,57600.0000000
109,-8.31,-0.62,275.25,0.00,0.00,180.00,-0.181,0.035,0.957,18.19,-28.94,-27.44,8.08,28.0,25856.0000000,57600.0000000
110,-6.56,-2.12,278.75,0.00,0.00,180.00,-0.153,0.078,0.956,26.81,-16.19,-44.50,8.08,28.0,25856.0000000,57600.0000000
111,-5.38,-3.75,283.06,0.00,0.00,180.00,-0.149,0.149,0.958,9.44,-10.62,-34.50,8.08,28.0,25856.0000000,57600.0000000
112,-5.00,-4.19,286.19,0.00,0.00,180.00,-0.194,0.045,0.969,8.38,-10.50,-34.50,8.08,28.0,25856.0000000,57600.0000000
114,-3.75,-8.44,294.25,0.00,0.00,180.00,-0.133,0.273,0.900,26.12,-0.12,-55.44,8.08,28.0,25856.0000000,57600.0000000
